AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
7.7,0.78,6.57,1.13,35.58,2.63,-1.8,-1.8,-1.8
6.86,-1.27,7.31,-19.59,31.58,1.87,4.57,4.57,4.57
5.91,-1.83,7.76,-9.71,36.23,5.58,3.03,3.03,3.03
5.33,-1.62,8.55,-1.24,18.65,0.74,1.16,1.16,1.16
4.68,-1.51,8.78,-1.89,16.22,1.18,0.37,0.37,0.37
4.25,-2.14,8.86,-2.9,7.51,4.1,1.83,1.83,1.83
3.89,-1.69,9,2.86,0.71,0.05,0.56,0.56,0.56
4.13,-1.96,9.15,-8.84,1.77,0.91,0.15,0.15,0.15
3.84,-2.15,8.56,-4.19,11.64,0.33,1.61,1.61,1.61
3.41,-1.91,9.58,1.59,7.5,1.26,1.95,1.95,1.95
3.35,-2.17,9.59,1.98,-6.69,0.72,1.95,1.95,1.95
3.73,-1.7,9.18,-4.83,-8.44,-1.98,2.06,2.06,2.06
3.87,-1.79,8.57,-6.11,-14.9,-3.36,1.98,1.98,1.98
4.75,-2.19,8.52,-2.93,-35.9,-7.65,1.46,1.46,1.46
5.59,-1.59,8.11,9.17,-28.44,-11.14,2.32,2.32,2.32
6.38,-1.52,6.8,0.97,-49.29,-6.96,-4.61,-4.61,-4.61
7.94,-1.4,5.54,-7.48,-53.1,-8.54,0.48,0.48,0.48
8.89,0.96,4.21,3.04,-57.61,-5.4,-3,-3,-3
9.59,0.77,2.64,10.12,-48.29,-10.1,-4.46,-4.46,-4.46
10.15,0.54,1.31,-7.24,-27.25,-3.69,-3.6,-3.6,-3.6
9.66,0.41,0.47,-2.91,-29.89,-6.88,1.38,1.38,1.38
9.88,0.23,0.27,6.79,-11.2,-2.54,0.52,0.52,0.52
9.84,0,0.49,0.52,-6.1,-2.91,2.66,2.66,2.66
9.87,0.11,0.99,-2.23,-3.18,0,3.71,3.71,3.71
9.95,0.14,-1.3,-2.3,0.68,0.95,-3.97,-3.97,-3.97
9.77,0.08,-1.11,-2.94,0.88,0.05,-3.33,-3.33,-3.33
9.71,0.11,0.88,2.01,-1.46,0.71,-3.3,-3.3,-3.3
9.69,0.06,0.96,2.03,0.69,0.13,-2.73,-2.73,-2.73
9.75,0.11,0.92,0.22,2.09,0.6,-3.67,-3.67,-3.67
9.89,0.7,-1.2,-4.56,5.26,0.63,-2.73,-2.73,-2.73
9.62,0.1,0.23,17.9,2.72,3.88,4.2,4.2,4.2
9.82,0.14,0.14,3.37,38.54,6.81,0.75,0.75,0.75
9.6,0.44,1.43,15.61,47.74,5.36,-2.7,-2.7,-2.7
9.18,0.38,3.22,8.01,46.38,3.6,-4.9,-4.9,-4.9
8.38,0.3,4.49,-11.99,37.98,7.08,-1.46,-1.46,-1.46
7.88,0.77,5.68,-17.6,32.61,5.59,4.31,4.31,4.31
7.44,0.55,6.51,16.91,24.35,4.95,1.05,1.05,1.05
7.09,0.95,7.3,-3.9,25.75,2.45,4.72,4.72,4.72
6.12,-1.53,7.57,2.33,22.02,5.73,2.85,2.85,2.85
5.57,0.94,8.11,6.62,27.45,4.32,0.18,0.18,0.18
4.83,-1.19,8.81,0.47,20,0.22,-1.27,-1.27,-1.27
4.36,-1.8,8.94,-3.49,18.79,-1.12,0.56,0.56,0.56
3.74,-1.6,8.78,7.77,14.1,-2.53,-1.1,-1.1,-1.1
3.41,-1.7,9.39,-15.92,10.02,-1.33,2.32,2.32,2.32
2.94,-1.19,9.58,22.04,13.65,0.46,2.02,2.02,2.02
2.65,0.51,9.36,9.03,4.06,0.56,4.72,4.72,4.72
2.63,0.57,9.8,2.1,0.75,1.63,4.08,4.08,4.08
2.97,0.66,9.95,-2.55,0.75,2.66,3.52,3.52,3.52
3.03,0.7,10.35,10.15,-11.2,6.62,2.81,2.81,2.81
3.37,0.19,10.11,0.98,-24.27,-2.31,2.77,2.77,2.77
3.86,0.4,8.08,-10.91,-41.52,-2.7,2.4,2.4,2.4
5.55,0.88,8.6,-11.42,-34.9,-2.33,2.7,2.7,2.7
6.39,-1.13,7.19,17.01,-37.8,-4.8,4.27,4.27,4.27
7.46,-1.14,6.54,-21.99,-47.31,-7.23,-2.47,-2.47,-2.47
7.99,0.93,4.56,11.26,-61.62,-5.8,-4.69,-4.69,-4.69
9.11,-1.28,3.3,-20.48,-36.73,-2.79,4.23,4.23,4.23
9.1,0.81,1.93,3.15,-45.83,-10.19,3.11,3.11,3.11
10.17,0.14,0.28,-26.4,-32.76,-15.97,4.57,4.57,4.57
9.38,0,0.6,-4.4,-13.88,-6.2,0,0,0
9.62,0.37,0.76,7.64,-22.96,0,4.2,4.2,4.2
9.95,0.18,-1.23,-33.87,3.31,0.71,-1.1,-1.1,-1.1
9.31,0.17,-1.25,-10.57,0.06,1.63,-2.36,-2.36,-2.36
9.69,0.03,-1.17,18.63,-1.44,9.26,-1.68,-1.68,-1.68
9.55,0.48,0.98,-11.22,3.71,-1.93,-4.42,-4.42,-4.42
9.85,0.2,0.73,17.85,-3.78,0.48,-3.41,-3.41,-3.41
9.75,0.11,0.8,17.79,-1.7,2.68,4.05,4.05,4.05
9.6,0.22,0.54,19.81,-1.43,5.72,3.63,3.63,3.63
9.71,0.8,0.72,-1.76,4.27,-2.24,2.32,2.32,2.32
9.93,0,0.51,11.93,0.99,5.6,2.47,2.47,2.47
9.66,0.65,0.05,-15.47,38.33,2.98,-1.83,-1.83,-1.83
9.71,0.85,0.95,-6.93,24.95,13.34,-1.68,-1.68,-1.68
9.6,-2.21,1.71,-1.7,22.61,36.73,-4.16,-4.16,-4.16
8.84,-2.52,2.64,43.89,21.52,39.05,0.86,0.86,0.86
8.59,-3.54,3.57,-28.77,26.67,29.72,-3.63,-3.63,-3.63
7.24,-5.38,4.25,2.09,29.38,40.6,2.51,2.51,2.51
6.87,-5.6,4.62,43.2,19.69,22.11,4.31,4.31,4.31
6.44,-5.71,5.54,-53.64,16.37,-3.2,0.11,0.11,0.11
5.51,-6.2,5.4,36.86,20.92,18.16,-3.93,-3.93,-3.93
4.82,-5.17,6.22,-6.9,-9.89,0.68,3.93,3.93,3.93
5.09,-5.13,6.05,69.19,-26.39,7.24,-3.26,-3.26,-3.26
6.63,-4.37,5.44,-37.36,-41.53,-22.91,2.92,2.92,2.92
8.67,-4.57,4.44,-2.61,-8.92,-56.98,3.22,3.22,3.22
9.05,-1.33,4.46,53.89,-8.51,-60.92,1.98,1.98,1.98
8.97,0.59,4.73,-9.11,17.13,-38.34,1.38,1.38,1.38
8.29,1.33,5.01,-3.54,23.95,-38.2,2.96,2.96,2.96
7.7,1.56,5.99,-8.53,31.27,-44,2.32,2.32,2.32
6.66,1.29,6.94,-48.6,31.82,-21.15,3.6,3.6,3.6
5.71,1.96,7.13,17.78,9.9,-17.7,-4.42,-4.42,-4.42
5.49,2.59,7.92,0.95,3.75,-4.77,2.92,2.92,2.92
5.53,2.03,7.62,-8.81,-5.91,2.16,1.31,1.31,1.31
6.28,0.9,7.14,-32.41,-30.79,15.88,0.75,0.75,0.75
7.33,0.38,6.33,-7.73,-41.79,44.8,1.65,1.65,1.65
8.09,-1.26,5.04,39.46,-35.49,44.24,-2.25,-2.25,-2.25
9.54,-1.12,5.35,0.6,-11,56.04,3.3,3.3,3.3
8.6,-3.37,5.07,-9.8,5,48.91,-4.69,-4.69,-4.69
7.27,-5.4,4.9,-21.82,19.3,42.14,2.25,2.25,2.25
6.21,-5.77,4.53,20.16,5.97,20.72,3,3,3
5.95,-6.44,5.45,-21.59,7.97,20.89,-1.61,-1.61,-1.61
4.77,-4.59,6.05,114.99,4.5,34.3,-4.9,-4.9,-4.9
5.19,-6.4,5.85,-25.17,2.48,0.28,3.26,3.26,3.26
5.14,-5.44,5.99,29.34,-20.78,-9.82,-3.56,-3.56,-3.56
6.97,-5.13,6.04,33.01,-40.6,-37.91,0.26,0.26,0.26
8.47,-4.52,5.17,-56.94,-19.11,-26.67,1.35,1.35,1.35
8.61,-2.88,3.91,82.99,-5.79,-65.58,3.18,3.18,3.18
9.1,-1.84,5.4,-86.28,37.11,-71,-4.61,-4.61,-4.61
8.16,0.49,6.23,98.64,34.33,19.25,2.81,2.81,2.81
6.43,0.61,6.04,-61.34,58.14,-6.25,0.45,0.45,0.45
4.85,-3.16,8.06,-9.65,20,7.14,2.36,2.36,2.36
5.48,-1.12,7.29,16.36,3.34,8.76,1.27,1.27,1.27
5.5,0.88,7.73,14.02,-4.66,1.87,-2.32,-2.32,-2.32
6.07,0.9,7.48,-7.89,-22.6,1.19,-2.66,-2.66,-2.66
5.97,-3.61,6.6,-92.96,-11.22,16.39,3.52,3.52,3.52
7.13,-3.48,5.37,26.33,-45.78,31.26,-2.43,-2.43,-2.43
8.42,-5.4,6.25,0.79,-14.9,55.01,-2.13,-2.13,-2.13
6.65,-5.2,5.39,36.29,2.59,65.77,3.86,3.86,3.86
4.34,-5.42,6.15,-18.16,16.36,51.55,3.71,3.71,3.71
2.81,-8.47,4.16,-22.71,-5.23,-5.12,0.67,0.67,0.67
3.07,-6.78,5.84,8.62,-5.86,-10.22,0.78,0.78,0.78
3.02,-7.54,5.4,-25.31,-2,-14.51,-1.1,-1.1,-1.1
3.82,-6.65,6.31,68.4,-58.52,-32.34,0.11,0.11,0.11
7,-5.76,4.92,33.42,-31.85,-66.89,-3.63,-3.63,-3.63
7.96,-4.84,4.71,-31.33,6.99,-52.35,0.6,0.6,0.6
7.37,-5.95,5.33,-105.46,28.14,-20.43,0.67,0.67,0.67
7.78,-4.78,2.86,73.7,14.61,-41.92,-1.61,-1.61,-1.61
7.26,-2.22,6.68,33.71,103.59,12.84,-3.26,-3.26,-3.26
6.37,0.45,7.36,4.3,12.33,-6.9,1.57,1.57,1.57
6,0.51,7.59,-30.59,20.9,3.8,-1.5,-1.5,-1.5
5.54,-1.44,7.9,-29.68,3.95,6.87,-2.6,-2.6,-2.6
5.17,-2.19,7.06,6.46,-31.67,22.57,-4.12,-4.12,-4.12
6.76,-2.64,6.35,-46.94,-10.73,15.56,1.12,1.12,1.12
6.49,-4.23,5.95,-35.77,-21.64,15.44,-1.38,-1.38,-1.38
6.84,-6.21,6,25.21,-39.74,42.48,4.2,4.2,4.2
6.4,-5.67,5.03,-12.36,4.27,58.02,2.96,2.96,2.96
7.26,-2.52,6.75,132.24,-47.37,15.77,-4.42,-4.42,-4.42
3.11,-9.1,5.91,-209.19,114.88,39.24,2.85,2.85,2.85
3.78,-7.63,-2.6,-22.48,-18.68,-12.28,-1.65,-1.65,-1.65
2.71,-8.47,1.67,-4.8,17.66,8.57,0.33,0.33,0.33
3.31,-8.59,2.01,22.25,-3.15,-4.54,-1.27,-1.27,-1.27
3.25,-6.56,4.24,121.52,3.28,-30.62,0.18,0.18,0.18
4.48,-6.33,2.39,-20.91,12.32,-28.4,0.15,0.15,0.15
5.72,-7.1,5.01,-15.59,-23.93,-32.57,3.37,3.37,3.37
6.62,-6.8,5.4,-11.69,4.01,-37.96,0.07,0.07,0.07
6.93,-5.93,4.84,4.55,13.51,-22.68,-2.17,-2.17,-2.17
7.5,-4.68,5.07,12.4,16.9,-33.88,4.35,4.35,4.35
6.97,-2.75,6.4,48.77,18.81,-19.52,1.91,1.91,1.91
6.75,-3.3,8.56,67.12,25.59,6.24,3.78,3.78,3.78
4.19,2.74,5.6,23.24,11.83,12.56,2.7,2.7,2.7
4.97,2.93,8.12,44.53,-10.93,35.19,-4.35,-4.35,-4.35
4.93,-4.67,12.79,-76.21,108.28,-6.1,-4.24,-4.24,-4.24
4.04,-3.76,8.21,-102.83,52.17,6.92,3.33,3.33,3.33
5.03,-4.65,7.43,-1.15,-17.7,-1.54,4.35,4.35,4.35
4.18,-4.92,7.7,6.93,-1.74,0.56,3.97,3.97,3.97
3.35,-6.39,7.85,-49.8,12.67,-175.23,4.01,4.01,4.01
5.44,-1.32,8.42,31.35,-3.18,-25.61,-1.12,-1.12,-1.12
5.37,-2.2,8.02,-2.65,-4.71,1.15,3.11,3.11,3.11
5.45,-3.7,8.14,-12.32,-1.14,1.78,1.08,1.08,1.08
5.27,-2.8,7.81,-32.8,2.3,-6.9,1.05,1.05,1.05
5.06,-3.5,6.99,3.84,-32.8,0.84,0.26,0.26,0.26
6.64,-3.41,5.91,-1.7,-67.35,1.79,0.7,0.7,0.7
8.49,-3.16,4.56,0.61,-71.44,5.53,-1.1,-1.1,-1.1
9.51,-3.76,3.03,-39.2,-19.73,0.41,2.32,2.32,2.32
8.62,-3.4,1.57,-28.12,-35.41,5.36,-4.16,-4.16,-4.16
9.45,-3.45,0.34,-17.99,-31.17,-2.84,0.45,0.45,0.45
9.03,-4.14,0.81,-3.45,-19.59,1.36,2.66,2.66,2.66
8.75,-3.56,-1.5,-6.69,-2.9,0.64,4.54,4.54,4.54
9.22,-3.77,-1.37,-15.85,0.7,-2.24,-3.82,-3.82,-3.82
9.08,-3.33,-1.16,-71.64,-15.32,-13.1,-1.65,-1.65,-1.65
8.84,-3.61,-1.24,24.29,-8.63,-2.44,-1.68,-1.68,-1.68
9.24,-3.7,-1.23,48.24,-11.97,-5.68,1.42,1.42,1.42
9.18,-3.27,-1.22,-66.22,29.68,-8.88,2.66,2.66,2.66
9.46,-1.15,-1.24,20.06,-109.16,32.41,-4.46,-4.46,-4.46
4.93,-1.63,1.69,25.51,5.93,20.73,4.61,4.61,4.61
8.35,-4.85,0.65,-87.85,37.8,-8.6,3.03,3.03,3.03
10.09,0.35,0.91,95.78,11.97,-208.53,0.97,0.97,0.97
9.63,0.86,0.81,27.77,-24.99,-4.38,3.78,3.78,3.78
9.87,-1.37,-1.21,-42.1,3.1,0.19,1.68,1.68,1.68
9.77,0.73,0.96,2.01,-5.74,2.31,2.06,2.06,2.06
9.71,0.3,0.97,4.96,0.23,1.26,4.05,4.05,4.05
9.72,0.7,-1.2,-12.98,2.02,-1.77,2.51,2.51,2.51
9.65,0.9,0.93,9.94,1.61,-1,4.27,4.27,4.27
9.75,0.56,0.95,8.77,-3.56,1.32,0.52,0.52,0.52
9.81,0.6,-1.13,4.11,0.4,0.84,3.03,3.03,3.03
9.71,0.87,-1.23,37.31,-12.99,-1.8,4.2,4.2,4.2
9.75,0.98,-1.29,-29.31,6.41,1.93,-2.66,-2.66,-2.66
9.69,0.47,-1.35,-1.83,0.98,0.85,-3.48,-3.48,-3.48
9.65,0.56,-1.24,5.36,0.18,2.31,-3.52,-3.52,-3.52
9.69,0.62,-1.19,-3.54,1.77,0.3,3.86,3.86,3.86
9.73,0.69,-1.24,-3.71,0.48,0.57,-4.24,-4.24,-4.24
9.67,0.64,-1.22,-9.3,2.78,-2.3,-4.5,-4.5,-4.5
9.65,0.55,-1.23,1.63,-1.64,0.67,-4.42,-4.42,-4.42
9.68,0.61,-1.28,6.55,0.43,0.1,-4.42,-4.42,-4.42
9.68,0.63,-1.31,2.47,-2.37,1.51,-4.31,-4.31,-4.31
9.62,0.66,-1.3,-3.73,1.89,0.21,-4.69,-4.69,-4.69
9.69,0.6,-1.3,-2.82,0.52,0.31,-4.24,-4.24,-4.24
9.69,0.65,-1.27,2.49,0.37,0.78,-3.33,-3.33,-3.33
9.65,0.65,-1.31,21.9,-3.9,1.23,-2.51,-2.51,-2.51
9.69,0.79,-1.3,-10.27,3.97,0.28,-3,-3,-3
9.69,0.78,-1.34,29.29,-6.74,0.39,-3.93,-3.93,-3.93
9.62,0.93,-1.49,11.73,-2.72,0.22,-2.17,-2.17,-2.17
9.64,0.85,-1.47,-7.84,2.32,0.14,-1.2,-1.2,-1.2
9.64,0.75,-1.57,2.36,0.82,0.31,-1.5,-1.5,-1.5
9.58,-1.3,-1.43,-12.81,2.8,-1.2,-1.8,-1.8,-1.8
9.67,0.71,-1.29,14.6,-2.21,2.57,-2.73,-2.73,-2.73
9.68,0.61,-1.66,12.32,-3.53,0.33,-2.1,-2.1,-2.1
9.6,-1.7,-1.48,-33.32,7.34,-1.33,-2.55,-2.55,-2.55
9.7,0.95,-1.2,1.63,0.49,2.35,-3.52,-3.52,-3.52
9.74,0.63,-1.38,29.49,-4.48,0.99,-4.46,-4.46,-4.46
9.63,0.66,-1.63,15.73,-3.24,0.18,-4.12,-4.12,-4.12
10.49,-1.61,-1.26,-46.1,13.61,4.41,-3.56,-3.56,-3.56
9.65,-1.22,-1.26,-1.21,-3.69,1.83,-3.63,-3.63,-3.63
9.66,-1.1,-1.26,25.26,-3.74,2.45,-4.31,-4.31,-4.31
9.66,0.68,-1.63,20.48,-3.25,0.63,-2.28,-2.28,-2.28
9.46,-1.7,-1.53,-36.18,7.49,-3.81,-3.97,-3.97,-3.97
9.74,-1.33,-1.63,-15.89,2.88,0.43,-3.93,-3.93,-3.93
9.62,0.97,-1.41,8.6,-2.4,1.86,-4.57,-4.57,-4.57
9.67,0.95,-1.5,1.57,-1.4,0.16,-3.3,-3.3,-3.3
9.63,0.93,-1.48,4.69,0.23,0.39,-4.39,-4.39,-4.39
9.58,0.99,-1.48,2.18,-1.73,0.56,-3.18,-3.18,-3.18
9.63,0.92,-1.63,-9.46,2.7,0.01,-2.77,-2.77,-2.77
9.62,0.94,-1.6,-3.95,0.32,-1.26,-4.5,-4.5,-4.5
9.67,0.97,-1.74,51.1,-11.34,2.47,-3.45,-3.45,-3.45
9.54,-1.37,-1.6,0.49,0.25,4.9,-2.47,-2.47,-2.47
9.5,-1.17,-1.59,15.41,-1.1,7.03,-4.1,-4.1,-4.1
9.53,-1.86,-1.14,-25.33,9.06,-1.19,3.26,3.26,3.26
9.56,-1.29,-1.63,7.52,-5.18,-3.6,2.58,2.58,2.58
9.57,-1.16,-1.55,-22.98,2.42,-4.4,-4.72,-4.72,-4.72
9.44,0.7,-1.64,-34.59,1.77,13.19,-4.57,-4.57,-4.57
9.58,0.96,-1.73,18.95,-1.26,-1.54,-4.54,-4.54,-4.54
9.53,0.9,-1.68,-17.8,1.63,0.6,-2.7,-2.7,-2.7
9.56,0.8,-1.61,24.83,-1.66,3.12,-2.32,-2.32,-2.32
9.62,-1.42,-1.69,-25.51,3.76,-2.4,-3.78,-3.78,-3.78
9.55,-1.7,-1.6,4.62,0.57,0.64,-3.26,-3.26,-3.26
9.52,0.9,-1.68,3.81,-2.24,3.24,-3.9,-3.9,-3.9
9.55,-1.12,-1.75,10.72,2.45,5.17,4.46,4.46,4.46
9.54,-1.7,-1.38,4.9,1.12,6.81,2.88,2.88,2.88
9.46,-1.93,-1.51,6.82,0.45,7.54,-1.16,-1.16,-1.16
9.49,-2.11,-1.53,4.69,1.47,6.4,-1.91,-1.91,-1.91
9.42,-2.42,-1.3,-1.15,0.81,4.01,-4.24,-4.24,-4.24
9.55,-2.22,-1.3,9.32,-1.22,9.45,-3.18,-3.18,-3.18
9.1,-2.77,-1.52,-3.46,-2.3,0.14,-3.11,-3.11,-3.11
9.31,-2.63,-1.85,-38.59,3.68,3.59,-3.56,-3.56,-3.56
9.2,-2.71,-1.67,7.45,-3.54,0.37,-3.78,-3.78,-3.78
9.35,-2.19,-2.6,-2.77,0.58,-2.42,-2.73,-2.73,-2.73
9.27,-2.46,-1.74,-7.7,0.96,-3.3,-3.26,-3.26,-3.26
9.41,-1.96,-1.86,-8.12,1.46,0.57,-2.17,-2.17,-2.17
9.34,-2.18,-1.84,8.23,0.71,2.12,-2.6,-2.6,-2.6
9.33,-2.47,-1.73,35.83,-7.54,2.82,-3,-3,-3
9.26,-2.59,-1.85,0.45,0.03,0.07,-1.95,-1.95,-1.95
9.29,-2.49,-1.78,-4.56,0.69,-1.7,-2.17,-2.17,-2.17
9.34,-2.41,-1.83,1.08,0.49,0.85,-1.95,-1.95,-1.95
9.36,-2.3,-1.78,9.46,-1.16,1.21,-3.3,-3.3,-3.3
9.37,-2.39,-1.74,5.43,-3.22,0.72,3.9,3.9,3.9
9.3,-2.43,-1.7,-4.4,2.01,0.37,-3.22,-3.22,-3.22
9.26,-2.6,-1.65,-7.5,2.17,0.33,-4.54,-4.54,-4.54
9.36,-2.39,-1.42,3.78,0.31,0.21,4.5,4.5,4.5
9.31,-2.47,-1.69,15.7,-5.53,0.66,-3.67,-3.67,-3.67
9.27,-2.71,-1.76,1.81,0.49,0.25,-3.7,-3.7,-3.7
9.06,-2.93,-1.64,20.16,-1.15,3.99,-3.37,-3.37,-3.37
9.25,-3.8,-1.38,-2.55,-3.65,0.98,0.15,0.15,0.15
9.32,-2.75,-1.74,13.48,-4.89,-1.17,0.22,0.22,0.22
7.91,-7.41,4.59,73.82,-28.73,-133.5,2.36,2.36,2.36
9.26,0.1,-1.5,92.3,-26.35,-17.78,-1.72,-1.72,-1.72
5.43,2.37,-4.4,-286.68,45.72,32.63,-3,-3,-3
15.91,-11.18,-19.59,171.44,206.13,-80.77,4.2,4.2,4.2
11.76,0.35,-4.14,61.75,-28.73,-32.59,2.96,2.96,2.96
8.71,0.24,-4.17,157.48,-17.32,38.48,4.54,4.54,4.54
8.7,-3.73,0.72,112.57,46.42,49.81,0.15,1.9,1.91
13.45,3.89,-1.93,138.98,-44.93,-65.54,3.63,3.63,3.63
9.85,-2.81,0.39,17.16,-88.51,35.92,0.41,0.41,0.41
3.65,-2.51,-8.37,-209.13,-286.68,10.54,-3.78,-3.78,-3.78
0.6,0.42,-14.1,16.82,-145.55,-87.14,-4.42,-4.42,-4.42
-2.42,-1.61,-9.28,2.32,-67.17,-14.14,-1.5,-1.5,-1.5
-2.76,3.57,-9.3,-81.13,23.13,-45.78,3.93,3.93,3.93
-4.83,0.77,-9.9,8.52,74.34,-21.28,-1.68,-1.68,-1.68
-3.7,-1.27,-9.11,-148.22,-52.24,-98.87,0.6,0.6,0.6
-10.9,0.65,-4.14,176.36,-286.68,122.27,-3.3,-3.3,-3.3
-11.91,3.3,1.79,-46.27,107.3,56.7,0.18,0.18,0.18
-15.47,7.94,1.13,-69.91,-286.68,55.13,3.18,3.18,3.18
-7.62,8.63,-5.14,34.87,36.47,-69.33,3.6,3.6,3.6
-5.92,4.89,-8.6,42.04,-24.43,55.14,-3.86,-3.86,-3.86
-2.59,3.76,-8.41,50.02,65.25,180.36,-2.77,-2.77,-2.77
3.53,1.38,-1.4,110.46,168.17,149.43,-3.22,-3.22,-3.22
0.13,4.36,-10.24,-247.56,-233.5,261.59,-2.81,-2.81,-2.81
2.51,0.31,1.45,-242.34,286.68,237.28,-3.56,-3.56,-3.56
1.7,-8.24,15.84,-38.82,196.95,175.29,-4.76,-4.76,-4.76
3.78,-1.54,8.14,83.01,98.17,28.36,-2.6,-2.6,-2.6
1.25,-1.73,6.94,63.7,-154.8,-52.44,0.63,0.63,0.63
0.37,8.01,7.42,-149.2,-22.26,41.31,-4.54,-4.54,-4.54
0,7.16,6.16,71.47,-14.21,-31.48,4.69,4.69,4.69
0.45,-1.56,-2.37,-286.68,-71.39,234.21,0.48,0.48,0.48
1.67,3.08,9.19,-2.9,-1.57,0.06,0.3,0.3,0.3
1.67,3.03,9.38,0.32,0.4,0.14,-3.67,-3.67,-3.67
1.65,3.02,9.37,0.57,0.45,0.58,-2.58,-2.58,-2.58
1.67,3.01,9.37,0.88,0.46,0.37,-3.52,-3.52,-3.52
1.68,3.02,9.38,0.12,0.36,0.11,-3.37,-3.37,-3.37
1.71,2.92,9.38,0.33,0.66,0.8,-2.73,-2.73,-2.73
1.68,2.97,9.37,0.24,0.33,0.16,-3.33,-3.33,-3.33
1.67,2.97,9.4,0.33,0.28,0.14,-4.16,-4.16,-4.16
1.68,2.96,9.41,0.2,0.22,0.02,-3.82,-3.82,-3.82
1.67,2.96,9.37,0.34,0.16,0.07,-4.1,-4.1,-4.1
